ip1_1;ip1_2;ip1_3;ip1_4;ip1_port;ip2_1;ip2_2;ip2_3;ip2_4;ip2_port;anomaly
219;196;206;31;48368;192;168;0;102;80;20
219;196;206;31;49441;192;168;0;102;80;20
219;196;206;31;29530;192;168;0;102;80;20
219;196;206;31;34430;192;168;0;102;80;20
219;196;206;31;30221;192;168;0;102;80;20
219;196;206;31;16680;192;168;0;102;80;20
219;196;206;31;36834;192;168;0;102;80;20
219;196;206;31;42026;192;168;0;102;80;20
219;196;206;31;32852;192;168;0;102;80;20
219;196;206;31;25056;192;168;0;102;80;20
219;196;206;31;34789;192;168;0;102;80;20
219;196;206;31;31975;192;168;0;102;80;20
219;196;206;31;21342;192;168;0;102;80;20
219;196;206;31;26514;192;168;0;102;80;20
219;196;206;31;20505;192;168;0;102;80;20
219;196;206;31;8231;192;168;0;102;80;20
219;196;206;31;46259;192;168;0;102;80;20
219;196;206;31;11166;192;168;0;102;80;20
219;196;206;31;58245;192;168;0;102;80;20
219;196;206;31;55066;192;168;0;102;80;20
219;196;206;31;44244;192;168;0;102;80;20
219;196;206;31;8893;192;168;0;102;80;20
219;196;206;31;46062;192;168;0;102;80;20
219;196;206;31;20354;192;168;0;102;80;20
219;196;206;31;63726;192;168;0;102;80;20
219;196;206;31;21798;192;168;0;102;80;20
219;196;206;31;56657;192;168;0;102;80;20
219;196;206;31;51379;192;168;0;102;80;20
219;196;206;31;11102;192;168;0;102;80;20
219;196;206;31;46026;192;168;0;102;80;20
219;196;206;31;54211;192;168;0;102;80;20
219;196;206;31;33037;192;168;0;102;80;20
219;196;206;31;61193;192;168;0;102;80;20
219;196;206;31;15277;192;168;0;102;80;20
219;196;206;31;34066;192;168;0;102;80;20
219;196;206;31;23412;192;168;0;102;80;20
219;196;206;31;62839;192;168;0;102;80;20
219;196;206;31;5193;192;168;0;102;80;20
219;196;206;31;55169;192;168;0;102;80;20
219;196;206;31;19042;192;168;0;102;80;20
219;196;206;31;44572;192;168;0;102;80;20
219;196;206;31;31738;192;168;0;102;80;20
219;196;206;31;284;192;168;0;102;80;20
219;196;206;31;55778;192;168;0;102;80;20
219;196;206;31;2406;192;168;0;102;80;20
219;196;206;31;2923;192;168;0;102;80;20
219;196;206;31;30896;192;168;0;102;80;20
219;196;206;31;55328;192;168;0;102;80;20
219;196;206;31;26474;192;168;0;102;80;20
219;196;206;31;4347;192;168;0;102;80;20
219;196;206;31;21887;192;168;0;102;80;20
219;196;206;31;40698;192;168;0;102;80;20
219;196;206;31;26398;192;168;0;102;80;20
219;196;206;31;16066;192;168;0;102;80;20
219;196;206;31;26778;192;168;0;102;80;20
219;196;206;31;9;192;168;0;102;80;20
219;196;206;31;46848;192;168;0;102;80;20
219;196;206;31;7538;192;168;0;102;80;20
219;196;206;31;32264;192;168;0;102;80;20
219;196;206;31;33394;192;168;0;102;80;20
219;196;206;31;6147;192;168;0;102;80;20
219;196;206;31;2523;192;168;0;102;80;20
219;196;206;31;33996;192;168;0;102;80;20
219;196;206;31;54038;192;168;0;102;80;20
219;196;206;31;59223;192;168;0;102;80;20
219;196;206;31;4681;192;168;0;102;80;20
219;196;206;31;41113;192;168;0;102;80;20
219;196;206;31;4578;192;168;0;102;80;20
219;196;206;31;38833;192;168;0;102;80;20
219;196;206;31;42514;192;168;0;102;80;20
219;196;206;31;65393;192;168;0;102;80;20
219;196;206;31;35079;192;168;0;102;80;20
219;196;206;31;34868;192;168;0;102;80;20
219;196;206;31;16951;192;168;0;102;80;20
219;196;206;31;20789;192;168;0;102;80;20
219;196;206;31;62253;192;168;0;102;80;20
219;196;206;31;39041;192;168;0;102;80;20
219;196;206;31;60903;192;168;0;102;80;20
219;196;206;31;54112;192;168;0;102;80;20
219;196;206;31;45031;192;168;0;102;80;20
219;196;206;31;15762;192;168;0;102;80;20
219;196;206;31;60170;192;168;0;102;80;20
219;196;206;31;61569;192;168;0;102;80;20
219;196;206;31;5491;192;168;0;102;80;20
219;196;206;31;13629;192;168;0;102;80;20
219;196;206;31;20596;192;168;0;102;80;20
219;196;206;31;4450;192;168;0;102;80;20
219;196;206;31;28754;192;168;0;102;80;20
219;196;206;31;45264;192;168;0;102;80;20
219;196;206;31;50338;192;168;0;102;80;20
219;196;206;31;11387;192;168;0;102;80;20
219;196;206;31;4820;192;168;0;102;80;20
219;196;206;31;4723;192;168;0;102;80;20
219;196;206;31;53321;192;168;0;102;80;20
219;196;206;31;47006;192;168;0;102;80;20
219;196;206;31;53539;192;168;0;102;80;20
219;196;206;31;34241;192;168;0;102;80;20
219;196;206;31;45467;192;168;0;102;80;20
219;196;206;31;18355;192;168;0;102;80;20
219;196;206;31;46923;192;168;0;102;80;20
219;196;206;31;52494;192;168;0;102;80;20
219;196;206;31;21152;192;168;0;102;80;20
219;196;206;31;16424;192;168;0;102;80;20
219;196;206;31;58123;192;168;0;102;80;20
219;196;206;31;16328;192;168;0;102;80;20
219;196;206;31;51546;192;168;0;102;80;20
219;196;206;31;6808;192;168;0;102;80;20
219;196;206;31;25027;192;168;0;102;80;20
219;196;206;31;32281;192;168;0;102;80;20
