12:24:05.388879, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 43, 
12:24:05.396376, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 216, 
12:24:05.397228, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 377, 
12:24:05.407078, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 43, 
12:24:05.417487, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 366, 
12:24:05.419012, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 200, 
12:24:05.429448, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 43, 
12:24:05.435715, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 208, 
12:24:05.437026, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 366, 
12:24:05.446400, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 43, 
12:24:05.457168, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 358, 
12:24:05.458358, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 210, 
12:24:05.468403, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 43, 
12:24:05.475166, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 202, 
12:24:05.477074, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 346, 
12:24:05.489218, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 43, 
12:24:05.496860, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 205, 
12:24:05.496862, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 356, 
12:24:05.508581, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 43, 
12:24:05.514359, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 213, 
12:24:05.516833, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 346, 
12:24:05.529474, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 43, 
12:24:05.535621, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 212, 
12:24:05.536890, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 339, 
12:24:05.553062, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 216, 
12:24:05.557026, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 348, 
12:24:05.574313, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 214, 
12:24:05.577097, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 345, 
12:24:05.596702, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 192, 
12:24:05.597019, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 575, 
12:24:05.617354, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 335, 
12:24:05.618816, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 194, 
12:24:05.636329, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 198, 
12:24:05.642788, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 323, 
12:24:05.653653, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 203, 
12:24:05.657793, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 321, 
12:24:05.672145, IP, 192.168.0.102.54873, >, 172.217.16.14.80:, Flags, [.],, seq, 3565925802:3565925803,, ack, 4261587300,, win, 511,, length, 1:, HTTP, 
12:24:05.676321, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 202, 
12:24:05.676912, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 319, 
12:24:05.687536, IP, 172.217.16.14.80, >, 192.168.0.102.54873:, Flags, [.],, ack, 1,, win, 256,, options, [nop,nop,sack, 1, {0:1}],, length, 0, 
12:24:05.692566, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 210, 
12:24:05.697117, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 325, 
12:24:05.715922, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 209, 
12:24:05.716882, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 322, 
12:24:05.733637, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 207, 
12:24:05.737243, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 328, 
12:24:05.756402, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 202, 
12:24:05.756925, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 325, 
12:24:05.773983, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 191, 
12:24:05.777220, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 320, 
12:24:05.797506, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 192, 
12:24:05.797507, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 323, 
12:24:05.815044, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 194, 
12:24:05.816937, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 322, 
12:24:05.832658, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 190, 
12:24:05.837134, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 331, 
12:24:05.855320, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 197, 
12:24:05.858804, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 437, 
12:24:05.872802, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 207, 
12:24:05.887107, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 324, 
12:24:05.896370, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 210, 
12:24:05.896903, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 320, 
12:24:05.914006, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 202, 
12:24:05.917032, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 326, 
12:24:05.937170, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 326, 
12:24:05.937272, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 209, 
12:24:05.954969, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 203, 
12:24:05.957208, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 322, 
12:24:05.976524, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 197, 
12:24:05.976991, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 320, 
12:24:05.993670, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 196, 
12:24:05.997124, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 331, 
12:24:06.015898, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 206, 
12:24:06.017056, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 339, 
12:24:06.032978, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 203, 
12:24:06.033742, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 52, 
12:24:06.037252, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 333, 
12:24:06.038811, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 52, 
12:24:06.056297, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 201, 
12:24:06.057118, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 336, 
12:24:06.073885, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 202, 
12:24:06.077138, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 580, 
12:24:06.097336, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 309, 
12:24:06.097337, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 208, 
12:24:06.114417, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 197, 
12:24:06.122499, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 317, 
12:24:06.136038, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 189, 
12:24:06.137211, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 317, 
12:24:06.153135, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 191, 
12:24:06.157321, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 311, 
12:24:06.174664, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 184, 
12:24:06.178173, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 310, 
12:24:06.197299, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 318, 
12:24:06.197462, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 178, 
12:24:06.215022, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 176, 
12:24:06.217085, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 320, 
12:24:06.232542, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 183, 
12:24:06.237536, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 320, 
12:24:06.255457, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 182, 
12:24:06.257224, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 332, 
12:24:06.272544, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 182, 
12:24:06.277263, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 324, 
12:24:06.296041, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 158, 
12:24:06.297152, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 324, 
12:24:06.313646, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 160, 
12:24:06.317174, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 324, 
12:24:06.336358, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 155, 
12:24:06.337326, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 319, 
12:24:06.354049, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 163, 
12:24:06.357380, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 320, 
12:24:06.377289, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 327, 
12:24:06.377398, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 158, 
12:24:06.385631, IP, 192.168.0.102.50265, >, 162.159.137.234.443:, Flags, [P.],, seq, 86:172,, ack, 1,, win, 509,, length, 86, 
12:24:06.394776, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 43, 
12:24:06.397465, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 322, 
12:24:06.411795, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 43, 
