192;168;0;105;39149;192;168;0;1;53;
192;168;0;1;53;192;168;0;105;39149;
192;168;0;105;39149;192;168;0;1;53;
192;168;0;1;53;192;168;0;105;39149;
192;168;0;105;53716;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53716;
192;168;0;105;53716;40;77;226;250;443;
192;168;0;105;53716;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53716;
192;168;0;105;53716;40;77;226;250;443;
192;168;0;105;53716;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53716;
192;168;0;105;53716;40;77;226;250;443;
192;168;0;105;53716;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53716;
40;77;226;250;443;192;168;0;105;53716;
192;168;0;105;53716;40;77;226;250;443;
192;168;0;105;53716;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53716;
192;168;0;102;52969;51;103;5;159;443;
51;103;5;159;443;192;168;0;102;52969;
192;168;0;102;52969;51;103;5;159;443;
192;168;0;105;38155;192;168;0;1;53;
192;168;0;1;53;192;168;0;105;38155;
192;168;0;105;38155;192;168;0;1;53;
192;168;0;1;53;192;168;0;105;38155;
192;168;0;105;58098;192;168;0;1;53;
192;168;0;105;53718;40;77;226;250;443;
192;168;0;1;53;192;168;0;105;58098;
192;168;0;105;58098;192;168;0;1;53;
192;168;0;1;53;192;168;0;105;58098;
192;168;0;105;53720;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53718;
192;168;0;105;53718;40;77;226;250;443;
192;168;0;105;53718;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53720;
192;168;0;105;53720;40;77;226;250;443;
192;168;0;105;53720;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53718;
192;168;0;105;53718;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53720;
192;168;0;105;53720;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53720;
192;168;0;105;53720;40;77;226;250;443;
192;168;0;105;53718;40;77;226;250;443;
192;168;0;105;53720;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53718;
192;168;0;105;53718;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53720;
192;168;0;105;53720;40;77;226;250;443;
192;168;0;105;53718;40;77;226;250;443;
192;168;0;105;53720;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53718;
192;168;0;105;53718;40;77;226;250;443;
192;168;0;105;53718;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53720;
192;168;0;105;53720;40;77;226;250;443;
192;168;0;105;53720;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53718;
40;77;226;250;443;192;168;0;105;53720;
192;168;0;102;53001;51;103;5;159;443;
51;103;5;159;443;192;168;0;102;53001;
192;168;0;102;53001;51;103;5;159;443;
192;168;0;104;52887;239;255;255;250;1900;
192;168;0;104;5353;224;0;0;251;5353;
192;168;0;104;5353;224;0;0;251;5353;
192;168;0;104;58090;224;0;0;252;5355;
192;168;0;104;52887;239;255;255;250;1900;
192;168;0;105;48739;192;168;0;1;53;
192;168;0;1;53;192;168;0;105;48739;
192;168;0;105;48739;192;168;0;1;53;
192;168;0;1;53;192;168;0;105;48739;
192;168;0;105;53722;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53722;
192;168;0;105;53722;40;77;226;250;443;
192;168;0;105;53722;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53722;
192;168;0;105;53722;40;77;226;250;443;
192;168;0;105;53722;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53722;
192;168;0;105;53722;40;77;226;250;443;
192;168;0;105;53722;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53722;
40;77;226;250;443;192;168;0;105;53722;
192;168;0;105;53722;40;77;226;250;443;
192;168;0;105;53722;40;77;226;250;443;
40;77;226;250;443;192;168;0;105;53722;
192;168;0;102;65529;34;107;247;156;443;
34;107;247;156;443;192;168;0;102;65529;
192;168;0;104;52887;239;255;255;250;1900;
192;168;0;104;57025;239;255;255;250;1900;
192;168;0;102;49162;172;217;16;14;80;
172;217;16;14;80;192;168;0;102;49162;
172;217;16;14;80;192;168;0;102;49162;
192;168;0;102;49162;172;217;16;14;80;
192;168;0;104;57025;239;255;255;250;1900;
192;168;0;104;57025;239;255;255;250;1900;
192;168;0;104;52887;239;255;255;250;1900;
192;168;0;104;57025;239;255;255;250;1900;
192;168;0;104;52887;239;255;255;250;1900;
192;168;0;104;52887;239;255;255;250;1900;
192;168;0;102;49679;51;103;5;159;443;
51;103;5;159;443;192;168;0;102;49679;
192;168;0;102;49679;51;103;5;159;443;
